sex,shield.l,femur1,femur2,femur3,femur4,left.tusk,right.tusk,morph,Id,foto,betweeneyes,spineCoxa,Notes
male,0.992,0.987,1.964,1.509,1.872,0.406,0.391,major,75,6247,,0.178,
male,0.793,0.856,1.713,1.304,1.665,0.117,0.112,minor,76,6248,,0.133,
male,0.941,0.934,1.9,1.456,1.861,0.312,0.317,major,77,6249,0.233,0.149,
female,0.765,0.865,1.749,1.32,1.71,,,female,71000,6668,0.203,0.131,
female,0.799,0.884,1.804,1.372,1.825,,,female,42,6209,0.202,0.132,
male,0.939,1.03,1.965,1.533,2.025,0.38,0.372,major,80,6252,,0.164,
male,0.869,0.94,1.918,1.447,1.927,0.191,0.186,minor,81,6253,0.227,0.14,
male,0.806,0.909,1.832,1.395,1.841,0.099,0.098,minor,82,6254,0.209,0.111,
male,0.922,0.976,1.966,1.495,1.966,0.236,0.225,minor,83,6255,0.246,0.128,
male,0.993,1.03,2.04,1.549,2.051,0.39,0.394,major,84,6257,0.248,0.168,
male,1.042,1.096,2.208,1.685,2.165,0.463,0.453,major,85,6260,0.257,0.179,
female,0.779,0.864,1.714,1.309,1.708,,,female,56000,6529,0.202,0.132,
female,0.794,0.847,1.749,1.337,1.758,,,female,96000,6694,0.22,0.132,
male,0.952,1.016,1.966,1.551,1.967,0.359,0.348,major,88,6265,0.228,0.18,
male,0.93,0.925,1.905,1.434,1.868,0.344,0.343,major,90,6267,0.242,0.148,
male,0.809,0.868,1.74,1.318,1.663,0.074,0.07,minor,91,6268,0.2,0.126,
male,0.973,0.954,1.878,1.456,1.821,0.322,0.315,major,92,6269,0.231,0.171,
male,0.93,0.937,1.908,1.469,1.872,0.339,0.351,major,93,6270,0.231,0.173,
female,0.79,0.811,1.567,1.217,1.579,,,female,14,6177,0.202,0.133,
female,0.76,0.84,1.669,1.274,1.688,,,female,22,6188,0.198,0.134,
male,0.803,0.858,1.779,1.349,1.776,0.072,0.072,minor,96,6274,0.199,0.115,
male,0.971,1.016,2.011,1.576,2.033,0.411,0.419,major,97,6275,0.268,0.172,
female,0.819,0.858,1.718,1.286,1.72,,,female,45,6213,0.208,0.134,
female,0.749,0.865,1.666,1.284,1.655,,,female,73000,6670,0.21,0.134,
female,0.786,0.822,1.653,1.249,1.655,,,female,24,6190,0.2,0.135,
female,0.814,0.837,1.742,1.283,1.758,,,female,62,6233,0.204,0.135,
female,0.833,0.885,1.747,1.34,1.74,,,female,99,6277,0.215,0.136,
male,0.979,0.991,2.001,1.515,1.932,0.31,0.315,major,103,6281,0.25,0.147,
male,1.031,1.057,2.002,1.552,2.008,0.354,0.367,major,104,6282,0.237,0.161,
male,0.928,0.952,1.904,1.469,1.904,0.161,0.16,minor,105,6283,0.229,0.171,
female,0.715,0.886,1.774,1.35,1.775,,,female,48000,6521,0.197,0.136,
female,0.761,0.856,1.673,1.279,1.686,,,female,77000,6674,0.2,0.136,
female,0.777,0.894,1.805,1.346,1.782,,,female,86000,6685,0.206,0.136,
female,0.805,0.858,1.745,1.319,1.752,,,female,78,6250,,0.137,
female,0.801,0.821,1.679,1.284,1.672,,,female,95,6273,,0.137,
female,0.717,0.814,1.591,1.236,1.615,,,female,27000,6495,0.195,0.137,
male,0.83,0.867,1.751,1.326,1.718,0.164,0.163,minor,112,6292,,0.142,
male,0.786,0.815,1.653,1.254,1.635,0.047,0.049,minor,113,6293,0.204,0.118,
male,0.745,0.812,1.627,1.228,1.601,0.038,0.041,minor,114,6294,0.182,0.12,
male,0.793,0.869,1.759,1.349,1.728,0.085,0.076,minor,115,6295,0.196,0.128,
female,0.827,0.859,,1.335,1.769,,,female,101000,6707,0.209,0.137,
female,0.821,0.905,1.819,1.354,1.78,,,female,29,6195,0.197,0.138,
female,0.777,0.832,1.675,1.3,1.661,,,female,31,6197,0.217,0.138,
male,0.925,1.039,2.017,1.593,2.054,0.363,0.349,major,2000,6469,0.242,0.167,
male,0.954,0.957,1.808,1.461,1.893,0.276,0.271,major,3000,6470,0.249,0.14,
male,0.9,0.956,1.85,1.423,1.858,0.312,0.319,major,4000,6471,0.236,0.145,
male,0.893,1.005,2.054,1.547,2.026,0.3,0.298,major,5000,6472,0.25,0.144,
male,0.956,1.023,1.997,1.544,1.98,0.389,0.38,major,6000,6473,0.259,0.15,
male,0.978,0.961,1.892,1.497,1.948,0.383,0.382,major,7000,6474,,0.168,
male,0.886,0.938,1.925,1.474,1.902,0.221,0.235,minor,8000,6475,0.236,0.137,
male,1.014,1.003,1.929,1.516,1.964,0.442,0.422,major,9000,6476,0.265,0.156,
male,0.973,1.038,2.049,1.575,2.004,0.385,0.364,major,10000,6477,0.266,0.158,
female,0.778,0.858,1.758,1.341,1.768,,,female,40,6206,0.208,0.138,puedo usar las escalas del 6208
male,0.895,0.997,2.025,1.53,1.998,0.206,0.212,minor,12000,6479,0.236,0.147,
male,0.965,1.026,1.935,1.518,1.971,0.399,0.396,major,13000,6480,0.257,0.148,
male,0.819,0.898,1.816,1.404,1.831,0.156,0.148,minor,14000,6481,0.214,0.159,
female,0.822,0.866,1.704,1.324,1.745,,,female,106,6284,0.21,0.138,
male,1.031,1.012,1.973,1.562,2.042,0.408,0.346,major,16000,6483,0.257,0.183,
male,0.978,1.028,1.969,1.544,1.982,0.374,0.36,major,17000,6484,0.27,0.134,
male,0.983,0.979,1.886,1.477,1.9,0.394,0.379,major,18000,6485,0.261,0.151,
male,0.912,0.93,1.856,1.438,1.863,0.204,0.199,minor,19000,6486,,0.138,
male,0.978,1.008,2.004,1.532,1.977,0.406,0.392,major,20000,6487,0.277,0.156,
male,0.769,0.806,1.591,1.222,1.601,0.039,0.035,minor,21000,6488,,0.096,
